,source,text,retweet_count,favorite_count,is_retweet,id_str,date,time,hour,week,time_start,time_end,duration,listed_title,top_category,listed_location
42,TWITTER FOR IPHONE,JUSTICE ROBERTS CAN SAY WHAT HE WANTS BUT THE 9TH CIRCUIT IS A COMPLETE &AMP; TOTAL DISASTER. IT IS OUT OF CONTROL HAS A HORRIBLE REPUTATION IS OVERTURNED MORE THAN ANY CIRCUIT IN THE COUNTRY 79% &AMP; IS USED TO GET AN ALMOST GUARANTEED RESULT. JUDGES MUST NOT LEGISLATE SECURITY...,27034.0,106655.0,FALSE,1.06558E+18,2018-11-22,12:21:00,12,3.0,08:00:00,17:00:00,NO DATA,NO DATA,NO_DATA,NO_DATA
43,TWITTER FOR IPHONE,REALLY GOOD CRIMINAL JUSTICE REFORM HAS A TRUE SHOT AT MAJOR BIPARTISAN SUPPORT. @SENATEMAJLDR MITCH MCCONNELL AND @SENCHUCKSCHUMER HAVE A REAL CHANCE TO DO SOMETHING SO BADLY NEEDED IN OUR COUNTRY. ALREADY PAST WITH BIG VOTE IN HOUSE. WOULD BE A MAJOR VICTORY FOR ALL!,9106.0,37997.0,FALSE,1.06595E+18,2018-11-23,12:57:00,12,3.0,08:00:00,17:00:00,9.0,EXECUTIVE TIME,EXECUTIVE_TIME,MAR-A-LAGO
44,TWITTER FOR IPHONE,REPUBLICANS AND DEMOCRATS MUST COME TOGETHER FINALLY WITH A MAJOR BORDER SECURITY PACKAGE WHICH WILL INCLUDE FUNDING FOR THE WALL. AFTER 40 YEARS OF TALK IT IS FINALLY TIME FOR ACTION. FIX THE BORDER FOR ONCE AND FOR ALL NOW!,38114.0,163397.0,FALSE,1.06595E+18,2018-11-23,12:41:00,12,3.0,08:00:00,17:00:00,9.0,EXECUTIVE TIME,EXECUTIVE_TIME,MAR-A-LAGO
45,TWITTER FOR IPHONE,....STARTS TODAY ELECTION IS ON DECEMBER 4TH. @VOTEBRADRAFF IS TOUGH ON CRIME AND BORDERS LOVES OUR MILITARY AND VETS. HE WILL BE GREAT FOR JOBS!,9886.0,40162.0,FALSE,1.06715E+18,2018-11-26,20:20:00,20,4.0,19:50:00,20:25:00,0.5833333333,FIRST STEP ACT ROUNDTABLE WITH GOVERNOR PHIL BRYANT AND LAW ENFORCEMENT LEADERS,EVENT,"GULFPORT, MS"
46,TWITTER FOR IPHONE,BRAD RAFFENSPERGER WILL BE A FANTASTIC SECRETARY OF STATE FOR GEORGIA - WILL WORK CLOSELY WITH @BRIANKEMPGA. IT IS REALLY IMPORTANT THAT YOU GET OUT AND VOTE FOR BRAD - EARLY VOTING....,12276.0,49799.0,FALSE,1.06715E+18,2018-11-26,20:20:00,20,4.0,19:50:00,20:25:00,0.5833333333,FIRST STEP ACT ROUNDTABLE WITH GOVERNOR PHIL BRYANT AND LAW ENFORCEMENT LEADERS,EVENT,"GULFPORT, MS"
47,TWITTER FOR IPHONE,WHILE CNN DOESN’T DO GREAT IN THE UNITED STATES BASED ON RATINGS OUTSIDE OF THE U.S. THEY HAVE VERY LITTLE COMPETITION. THROUGHOUT THE WORLD CNN HAS A POWERFUL VOICE PORTRAYING THE UNITED STATES IN AN UNFAIR....,21997.0,82928.0,FALSE,1.06714E+18,2018-11-26,19:47:00,19,4.0,19:40:00,19:50:00,0.1666666667,ARRIVE GULFPORT - BILOXI INTERNATIONAL AIRPORT,TRAVEL,TRAVEL
48,TWITTER FOR IPHONE,....AND FALSE WAY. SOMETHING HAS TO BE DONE INCLUDING THE POSSIBILITY OF THE UNITED STATES STARTING OUR OWN WORLDWIDE NETWORK TO SHOW THE WORLD THE WAY WE REALLY ARE GREAT!,19972.0,82507.0,FALSE,1.06714E+18,2018-11-26,19:47:00,19,4.0,19:40:00,19:50:00,0.1666666667,ARRIVE GULFPORT - BILOXI INTERNATIONAL AIRPORT,TRAVEL,TRAVEL
49,TWITTER FOR IPHONE,ON THE TEN-YEAR ANNIVERSARY OF THE MUMBAI TERROR ATTACK THE U.S. STANDS WITH THE PEOPLE OF INDIA IN THEIR QUEST FOR JUSTICE. THE ATTACK KILLED 166 INNOCENTS INCLUDING SIX AMERICANS. WE WILL NEVER LET TERRORISTS WIN OR EVEN COME CLOSE TO WINNING!,25128.0,104730.0,FALSE,1.06714E+18,2018-11-26,19:45:00,19,4.0,19:40:00,19:50:00,0.1666666667,ARRIVE GULFPORT - BILOXI INTERNATIONAL AIRPORT,TRAVEL,TRAVEL
50,TWITTER FOR IPHONE,WHEN MUELLER DOES HIS FINAL REPORT WILL HE BE COVERING ALL OF HIS CONFLICTS OF INTEREST IN A PREAMBLE WILL HE BE RECOMMENDING ACTION ON ALL OF THE CRIMES OF MANY KINDS FROM THOSE “ON THE OTHER SIDE”(WHATEVER HAPPENED TO PODESTA?) AND WILL HE BE PUTTING IN STATEMENTS FROM.....,26651.0,100397.0,FALSE,1.06706E+18,2018-11-26,14:33:00,14,4.0,13:30:00,14:35:00,1.083333333,EXECUTIVE TIME,EXECUTIVE_TIME,OVAL OFFICE
51,TWITTER FOR IPHONE,MEXICO SHOULD MOVE THE FLAG WAVING MIGRANTS MANY OF WHOM ARE STONE COLD CRIMINALS BACK TO THEIR COUNTRIES. DO IT BY PLANE DO IT BY BUS DO IT ANYWAY YOU WANT BUT THEY ARE NOT COMING INTO THE U.S.A. WE WILL CLOSE THE BORDER PERMANENTLY IF NEED BE. CONGRESS FUND THE WALL!,45629.0,174087.0,FALSE,1.06702E+18,2018-11-26,11:19:00,11,4.0,11:00:00,11:30:00,0.5,MEETING WITH THE CHIEF OF STAFF,MEETING,OVAL OFFICE
